aX,aY,aZ,gX,gY,gZ
0.169,-0.317,1.801,146.057,67.017,-12.939
0.128,-0.227,1.711,161.56,56.458,-22.095
0.14,-0.198,1.594,171.265,41.138,-26.794
0.151,-0.161,1.501,173.523,28.809,-31.006
0.134,-0.026,1.361,177.307,23.56,-35.461
0.105,0.048,1.326,185.12,17.822,-36.682
0.137,-0.085,1.28,185.791,8.179,-33.081
0.21,-0.266,1.196,174.927,-1.343,-31.372
0.249,-0.281,1.093,172.241,-10.071,-34.79
0.168,-0.188,1.187,184.143,-22.034,-39.734
0.103,-0.052,1.244,202.942,-24.414,-39.978
0.12,-0.129,1.169,215.576,-17.395,-37.659
0.19,-0.146,0.977,219.788,-7.324,-36.987
0.237,-0.199,0.906,220.337,-3.54,-40.039
0.24,-0.257,0.782,215.332,-2.502,-46.936
0.122,-0.199,0.712,216.309,-1.892,-55.359
0.1,-0.202,0.604,225.281,-1.343,-57.495
0.11,-0.243,0.422,218.628,-3.967,-60.547
0.012,-0.277,0.274,205.261,-11.597,-65.613
-0.073,-0.335,0.161,198.547,-20.569,-67.932
-0.161,-0.32,0.032,200.378,-27.832,-68.115
-0.257,-0.354,-0.157,208.435,-26.367,-70.435
-0.353,-0.423,-0.409,213.135,-23.01,-73.792
-0.437,-0.459,-0.67,211.792,-24.292,-71.106
-0.461,-0.482,-0.848,201.599,-32.41,-64.209
-0.521,-0.458,-0.934,180.847,-44.617,-54.565
-0.619,-0.507,-0.93,157.715,-56.03,-44.617
-0.576,-0.605,-0.896,142.029,-56.58,-36.072
-0.62,-0.557,-0.912,133.911,-45.715,-19.409
-0.884,-0.378,-0.916,124.512,-40.283,-0.793
-0.774,-0.482,-0.868,110.962,-41.748,-2.808
-0.701,-0.595,-0.681,93.201,-45.105,-5.371
-0.613,-0.673,-0.401,72.449,-37.964,1.892
-0.477,-0.816,-0.163,47.607,-22.095,7.263
-0.343,-0.915,0.085,28.625,-13.55,10.071
-0.249,-0.968,0.306,23.682,-15.747,9.644
-0.189,-0.98,0.32,35.583,-20.325,3.906
-0.114,-0.958,0.125,62.683,-21.912,-7.08
-0.098,-0.883,-0.139,89.417,-24.536,-23.926
-0.163,-0.86,-0.369,101.074,-35.034,-42.236
-0.26,-0.824,-0.599,100.83,-45.288,-54.81
-0.379,-0.715,-0.793,97.656,-51.086,-58.35
-0.456,-0.641,-1.001,91.98,-54.443,-54.932
-0.519,-0.678,-1.184,78.369,-59.692,-46.997
-0.57,-0.695,-1.22,58.35,-63.11,-35.278
-0.558,-0.674,-1.172,33.691,-54.382,-21.973
-0.472,-0.572,-1.155,9.216,-33.691,-9.827
-0.46,-0.507,-1.089,-8.85,-11.597,-3.357
-0.536,-0.645,-0.99,-24.109,7.69,-1.953
-0.486,-0.748,-0.844,-40.039,24.231,6.897
-0.394,-0.768,-0.676,-54.504,33.63,19.592
-0.324,-0.852,-0.622,-62.256,37.72,21.362
-0.299,-0.89,-0.564,-62.439,32.166,16.846
-0.297,-0.869,-0.528,-59.387,22.766,11.902
-0.288,-0.844,-0.58,-57.922,14.771,6.287
-0.308,-0.825,-0.643,-58.655,1.648,1.099
-0.358,-0.776,-0.654,-60.242,-14.099,-0.671
-0.379,-0.712,-0.712,-62.927,-22.278,1.892
-0.373,-0.656,-0.778,-69.458,-25.024,6.958
-0.349,-0.622,-0.799,-81.543,-27.954,13.062
-0.313,-0.608,-0.755,-98.755,-29.663,18.127
-0.258,-0.612,-0.731,-117.859,-24.475,18.921
-0.221,-0.569,-0.635,-134.216,-14.282,15.015
-0.211,-0.558,-0.557,-147.461,-2.197,8.85
-0.189,-0.562,-0.463,-159.119,7.935,2.625
-0.192,-0.525,-0.34,-168.457,18.921,-3.113
-0.215,-0.454,-0.236,-173.157,33.081,-9.766
-0.249,-0.408,-0.186,-176.025,44.067,-15.076
-0.321,-0.326,-0.066,-180.786,47.18,-16.968
-0.383,-0.298,0.01,-187.988,47.058,-15.137
-0.435,-0.295,0.019,-194.763,46.509,-10.01
-0.451,-0.3,0.082,-200.928,40.71,-1.953
-0.409,-0.368,0.153,-212.036,34.241,4.883
-0.376,-0.418,0.213,-222.412,27.771,7.874
-0.37,-0.504,0.239,-221.497,25.574,5.432
-0.37,-0.58,0.287,-213.135,30.884,-1.709
-0.367,-0.62,0.331,-210.327,46.082,-8.972
-0.198,-0.467,0.28,-215.393,71.228,-9.766
-0.198,-0.243,0.356,-221.985,85.327,-0.549
-0.185,0.131,0.596,-244.08,84.412,16.357
-0.332,0.806,0.732,-258.362,68.237,37.476
-0.531,1.274,0.976,-233.521,12.451,68.237
-0.555,0.704,1.507,-197.571,-60.059,75.073
-0.328,0.032,1.877,-172.546,-86.487,69.031
-0.266,-0.615,2.042,-192.566,-36.316,66.772
0.227,-0.581,1.664,-237,61.462,68.787
0.334,-0.566,1.644,-221.863,60.913,65.552
0.208,-0.753,2.018,-197.327,40.833,34.18
0.155,-0.808,1.945,-178.406,52.307,10.986
0.181,-0.782,1.834,-163.879,57.8,1.282
0.087,-0.555,1.747,-155.457,65.857,-0.916
-0.03,-0.154,1.703,-143.433,80.017,9.583
-0.083,0.07,1.753,-131.042,82.764,26.306
-0.011,0.211,1.775,-130.005,81.543,36.316
0.018,0.224,1.768,-127.258,79.773,37.781
0.167,-0.028,1.748,-111.45,75.928,27.832
0.381,-0.199,1.615,-85.876,71.655,13.794
0.358,-0.321,0.957,-66.406,66.406,-7.874
0.285,-0.671,1.116,-51.636,-15.686,-28.687
0.078,-0.395,1.308,-29.48,-73.425,-14.221
0.091,-0.374,1.346,-25.452,-87.891,-24.17
0.063,-0.412,1.079,-28.809,-69.092,-37.292
-0.062,-0.382,1.14,-30.029,-70.801,-37.476
-0.112,-0.193,1.039,-29.541,-72.021,-20.691
-0.167,-0.068,0.974,-24.048,-74.463,-4.7
-0.249,-0.149,1.02,-17.517,-86.304,4.822
-0.197,-0.203,1.187,-26.245,-86.548,14.465
